C2,C3,C4,C5,C6,C7,C8,Car,Car Name,Game,Gran Turismo 5,Gran Turismo 6,Gran Turismo 7,Main Series,NTSC-J,NTSC-J (menus),NTSC-J (race),NTSC-U,NTSC-U (menus),NTSC-U (race),NTSC-U and PAL (menus),NTSC-U and PAL (race),Other,Other games,PAL,Prologues/Concepts,Region,URL
,,,,,,,,Renault Sport Mégane Trophy Base Model '11,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Renault_Sport_M%C3%A9gane_Trophy_Base_Model_%2711
,,,,,,,,Mazda Eunos Roadster SR-Limited (NA) '97,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazda_Eunos_Roadster_SR-Limited_(NA)_%2797
,,,,,,,,2013 Kyle Busch #18 M&M'S® TOYOTA CAMRY,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/2013_Kyle_Busch_%E2%99%AF18_M%26M%27S%C2%AE_TOYOTA_CAMRY
,,,,,,,,Honda ACCORD Euro-R '02,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda_ACCORD_Euro-R_%2702
,,,,,,,,Honda NSX Type S '99,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda_NSX_Type_S_%2799
,,,,,,,,Monster Sport SX4 Base Model '11,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Monster_Sport_SX4_Base_Model_%2711
,,,,,,,,Toyota MR2 G-Limited '97,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Toyota_MR2_G-Limited_%2797
,,,,,,,,Lancia STRATOS Rally Car '77,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Lancia_STRATOS_Rally_Car_%2777
,,,,,,,,Lotus Europa S.2 '68,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Lotus_Europa_S.2_%2768
,,,,,,,,Nissan Fairlady Z Version S (Z33) '07,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_Fairlady_Z_Version_S_(Z33)_%2707
,,,,,,,,Lancia Stratos '73,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Lancia_STRATOS_%2773
,,,,,,,,Mercedes-Benz C 63 AMG '08,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mercedes-Benz_C_63_AMG_%2708
,,,,,,,Picture,Gillet,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Gillet
,,,,,,,,Mazda éfini RX-7 Type R (FD) '91,,,,,,,アンフィニRX-7 Type R,efini RX-7 Type R '91,,,,Mazda RX-7 Type R(J) '91,Mazda RX-7 Type R '91,,,,,Name,https://gran-turismo.fandom.com/wiki/Mazda_%C3%A9fini_RX-7_Type_R_(FD)_%2791
,,,,,,,,Lunar Exploration,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Lunar_Exploration
,,,,,,,,Honda,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda
,,,,,,,,Nissan SKYLINE GT-R V • spec II N1 (R34) '00,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_SKYLINE_GT-R_V_%E2%80%A2_spec_II_N1_(R34)_%2700
,,,,,,,,Alfa Romeo GIULIA TZ2 carrozzata da ZAGATO '65,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Alfa_Romeo_GIULIA_TZ2_carrozzata_da_ZAGATO_CN.AR750106_%2765
,,,,,,,,BMW M3 GT2 Base Model '11,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/BMW_M3_GT2_Base_Model_%2711
,,,,,,,,Isuzu Bellett 1600 GT-R '69,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Isuzu_Bellett_1600_GT-R_%2769
,,,,,,,,Mazda Lantis Coupe 2000 Type R '93,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazda_Lantis_Coupe_2000_Type_R_%2793
,,,,,,,,Toyota CELICA 1600GT (TA22) '70,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Toyota_CELICA_1600GT_(TA22)_%2770
,,,,,,,,Mazda RX500 '70,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazda_RX500_%2770
,,,,,,,,Nissan Silvia K's Aero (S14) '96,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_SILVIA_K%27s_AERO_(S14)_%2796
,,,,,,,,Mazda RX-7 Spirit R Type A (FD) '02,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazda_RX-7_Spirit_R_Type_A_(FD)_%2702
,,,,,,,,Mazda éfini RX-7 Type RZ (FD) '95,,,,,,,,,,,,,,,,,,,"https://gran-turismo.fandom.com/wiki/Mazda_RX-7_Type_RZ_(FD,_J)_%2795"
,,,,,,,,Nissan CONCEPT 2020 Vision Gran Turismo,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_CONCEPT_2020_Vision_Gran_Turismo
,,,,,,,,Nissan SILVIA 240RS (S110) '83,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_SILVIA_240RS_(S110)_%2783
,,,,,,,,Audi TT Coupe 3.2 quattro '03,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Audi_TT_Coupe_3.2_quattro_%2703
,,,,,,,,Toyota ARISTO 3.0V '91,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Toyota_ARISTO_3.0V_%2791
,,,,,,,,TVR Cerbera Speed 6 '97,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/TVR_Cerbera_Speed_6_%2797
,,,,,,,,Mitsubishi Lancer Evolution II GSR '94,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mitsubishi_Lancer_Evolution_II_GSR_%2794
,,,,,,,,Honda S2000 '01,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda_S2000_(US)_%2701
,,,,,,,,Ferrari 599 '06,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Ferrari_599_%2706
,,,,,,,,Volkswagen Karmann Ghia Coupe (Type-1) '68,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Volkswagen_Karmann_Ghia_Coupe_(Type-1)_%2768
,,,,,,,,Mazda Furai Concept '08,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazda_Furai_Concept_%2708
,,,,,,,,McLaren,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/McLaren
,,,,,,,,Vauxhall Astra Super Touring Car '00,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Vauxhall_Astra_Super_Touring_Car_%2700
